Year,Collection_Date,Community,Sample_Type,Vegetation_Type,Percent_Cover_Total,Percent_Cover_Shrub,Percent_Cover_Herb,Percent_Cover_Carpet,Average_Height_Dominant_(cm),Average_Height_Tree_cm,Average_Height_Shrub_cm,Average_Height_Herb_cm,Average_Height_Carpet_cm,Scientific_Name,Common_Name,Percent_Cover,In_Out,Number_Planted,Number_Alive,Additional_Species_Description,Organization,Personnel,Comments
2016,10/4/16,Saline,Transect,Natural,90,,90,,151.79,,,106.68,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Izdepski; E. Bennett, Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2016,10/5/16,Saline,Transect,Natural,90,,90,,96.92,,,76.2,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Izdepski; E. Bennett, Water Level is below marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2015,8/31/15,Saline,Transect,Natural,90,,90,,114.6,,,91.44,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; Z. Moore; T. Siemens, Water Level is 0.35 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2017,8/1/17,Saline,Transect,Natural,90,,90,,120.7,,,88.39,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; G. Parkes; D. Plaisance,20% dead vegetation laying on top of herbaceous layer; Water Level is 0.3 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 20%. Flooded-Undetermined is 0%.
2015,8/31/15,Saline,Transect,Natural,90,,90,,89,,,82.29,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; Z. Moore; T. Siemens, Water Level is below marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2015,8/31/15,Saline,Transect,Natural,90,,90,,90.83,,,82.29,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; Z. Moore; T. Siemens, Water Level is 0.1 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2008,7/30/08,Saline,Transect,Natural,90,,90,,131.67,,,100.58,,Avicennia germinans (L.) L.,black mangrove,10,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; A. Kerisit,YSI 30 broken - no porewater readings taken.  Water Level is 0 ft Above Marsh.
2015,8/31/15,Saline,Transect,Natural,90,25,75,,106.68,,149.35,94.48,,Avicennia germinans (L.) L.,black mangrove,25,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; Z. Moore; T. Siemens, Water Level is 0.1 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,9/6/16,Saline,Transect,Natural,90,20,80,,123.74,,121.92,88.39,,Avicennia germinans (L.) L.,black mangrove,20,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,A. Plaisance; D. Plaisance; M. Elizondo,"Shrub height estimated from picture, did not take measurement in field Water Level is 0.14 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%."
2008,7/30/08,Saline,Transect,Natural,90,,90,,120.7,,,100.58,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; A. Kerisit,YSI 30 broken - no porewater readings taken.  Water Level is 0.1 ft Above Marsh. Bare Ground is unvegetated surface.
2012,7/31/12,Saline,Transect,Natural,90,,90,,93.87,,,57.91,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; D. Plaisance; K. Williams,Water Level is 0.5 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2015,8/31/15,Saline,Transect,Natural,90,5,90,,98.14,,115.82,97.53,,Avicennia germinans (L.) L.,black mangrove,5,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; Z. Moore; T. Siemens, Water Level is 0.2 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,8/27/13,Saline,Transect,Natural,90,,90,,117.65,,,97.53,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Arnold; A. Kattenbraker; K. Fogg,deep hole in rear of plot adjacent to open water  Water Level is 0.18 ft above marsh. Open water is 0%. Bare ground is 0%. Dead vegetation is 0%. Flooded-Undetermined is 10%.
2015,8/31/15,Saline,Transect,Natural,90,,90,,96.31,,,91.44,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; Z. Moore; T. Siemens, Water Level is 0.1 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2017,8/1/17,Saline,Transect,Natural,90,1,90,,134.11,,85.34,97.53,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,A. Plaisance; G. Parkes; D. Plaisance,5% dead vegetation over herbaceous layer; Water Level is 0.22 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2006,10/10/06,Saline,Transect,Natural,90,,90,,111.4,,,111.4,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,BIOLOGICAL MONITORING SECTION (NO),W. Boshart; M. Hymel,Water relative to marsh = < 0 feet
2013,8/27/13,Saline,Transect,Natural,90,,90,,135.33,,,118.87,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Arnold; A. Kattenbraker; K. Fogg,trenasse through plot Water Level is 0.26 ft above marsh. Open water is 0%. Bare ground is 0%. Dead vegetation is 0%. Flooded-Undetermined is 10%.
2014,9/2/14,Saline,Transect,Natural,90,,90,,113.99,,,85.34,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,K. Fogg; J. Pace,Personnel also included B. Asbury Water Level is below marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2017,8/1/17,Saline,Transect,Natural,90,,90,,126.18,,,79.24,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Arnold; J. Pace; K. Fogg,camera corrupted; attempting to retrieve file from outside source; Water Level is 0.48 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2007,8/30/07,Saline,Transect,Natural,90,,90,,85,,,80,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,,COASTAL ESTUARY SERVICES LLC,F. Stcyr; C. Cheramie,Water 0.3ft above marsh
2008,7/30/08,Saline,Transect,Natural,90,,90,,116.43,,,100.58,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; A. Kerisit,YSI 30 broken - no porewater readings taken. Water Level is 0.7 ft Above Marsh. Bare Ground is unvegetated surface.
2009,7/28/09,Saline,Transect,Natural,90,,90,,125.57,,,124.96,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,D. Plaisance; A. Gallagher,Water Level is below marsh.
2013,8/27/13,Saline,Transect,Natural,90,,90,,107.89,,,82.29,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Arnold; A. Kattenbraker; K. Fogg,trenasse through back of plot Water Level is 0.26 ft above marsh. Open water is 0%. Bare ground is 0%. Dead vegetation is 0%. Flooded-Undetermined is 10%.
2016,8/24/16,Saline,Transect,Natural,90,,90,,113.99,,,106.68,,Avicennia germinans (L.) L.,black mangrove,,Out,,,Urbatsch ID: Leafy shoot,COASTAL ESTUARY SERVICES LLC,M. Reeves; M. Elizondo; D. Plaisance, Water Level is below marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,8/8/13,Saline,Transect,Natural,90,,90,,86.68,,,60.96,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,P. Vining; A. Dufrene; B. Miller,Water Level is below marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2013,8/8/13,Saline,Transect,Natural,90,,90,,91.44,,,76.2,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,P. Vining; A. Dufrene; B. Miller,Water Level is below marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2008,8/14/08,Saline,Transect,Natural,90,,90,,80.1,,,76.2,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; E. Bourg,Water Level is Below Marsh.
2010,10/1/10,Saline,Transect,Natural,90,,90,,91.07,,,85.34,,Avicennia germinans (L.) L.,black mangrove,5,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Smith; E. Bourg,Water Level is 0 ft above marsh.
2006,9/19/06,Saline,Transect,Natural,90,15,80,,88.4,,79.2,70.1,,Avicennia germinans (L.) L.,black mangrove,15,Both,,,,COASTAL ESTUARY SERVICES LLC,M. Sevier; G. Jacob,
2007,10/26/07,Saline,Transect,Natural,90,,90,,98.1,,,91.4,,Avicennia germinans (L.) L.,black mangrove,30,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Bacon; A. Dufrene,Bare Ground.; Water Level is Below Marsh
2006,9/18/06,Saline,Transect,Natural,90,10,85,,92.7,,36.6,79.2,,Avicennia germinans (L.) L.,black mangrove,10,Both,,,,COASTAL ESTUARY SERVICES LLC,M. Sevier; G. Jacob,near edge of pond
2010,6/16/10,Saline,Transect,Natural,90,,90,,99.54,,,76.2,,Avicennia germinans (L.) L.,black mangrove,20,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Dunn; E. Bourg,Water Level is 0.39 ft above marsh.
2017,9/14/17,Saline,Transect,Natural,90,70,20,,124.35,,109.72,33.52,,Avicennia germinans (L.) L.,black mangrove,90,Both,,,70% shrub / 20% herb,COASTAL ESTUARY SERVICES LLC,B. Lussier; S. Giles; M. McGaw,Black mangrove pneumatophores - 30% cover in plot Water Level is 0.2 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2006,9/18/06,Saline,Transect,Natural,90,10,80,,94.5,,61,73.2,,Avicennia germinans (L.) L.,black mangrove,10,Both,,,,COASTAL ESTUARY SERVICES LLC,G. Jacob; M. Sevier,near edge of pond.
2013,8/8/13,Saline,Transect,Natural,90,30,60,,104.24,,140.2,85.34,,Avicennia germinans (L.) L.,black mangrove,90,Both,,,30PERCENT SHRUB,COASTAL ESTUARY SERVICES LLC,A. Hafkesbring; D. Wheat,No PW; sipper malfunction Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2017,9/14/17,Saline,Transect,Natural,90,70,20,,134.72,,121.92,30.48,,Avicennia germinans (L.) L.,black mangrove,90,Both,,,70% shrub / 20% herb,COASTAL ESTUARY SERVICES LLC,B. Lussier; S. Giles; M. McGaw,Mangrove pneumataphores approximately 35% coverage plot on edge of small inland pond Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2007,10/29/07,Saline,Transect,Natural,90,,90,,126.2,,,121.9,,Avicennia germinans (L.) L.,black mangrove,90,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Bacon; J. Soileau,Bare Ground.; Water Level is Below Marsh
2008,8/14/08,Saline,Transect,Natural,90,15,85,,132.58,,152.4,106.68,,Avicennia germinans (L.) L.,black mangrove,90,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; E. Bourg,some mangroves were in the shrub category while others were in the herbaceous category hence 15% shrub and 85% herbaceous. Water Level is Below Marsh.
2009,7/16/09,Saline,Transect,Natural,90,50,60,,110.33,,121.92,60.96,,Avicennia germinans (L.) L.,black mangrove,90,Both,,,,COASTAL ESTUARY SERVICES LLC,J. Viola; A. Dufrene; J. Smith,Some Avicennia germinans in shrub category and some in  herbaceous category. Water Level is below marsh.
2012,7/30/12,Saline,Transect,Natural,90,80,10,,98.75,,106.68,36.57,,Avicennia germinans (L.) L.,black mangrove,90,Both,,,80% shrub;10%herbaceous,COASTAL ESTUARY SERVICES LLC,J. Smith; A. Dufrene,Water Level is 0.05 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2014,8/7/14,Saline,Transect,Natural,90,40,50,,96.98,,103.63,94.48,,Avicennia germinans (L.) L.,black mangrove,90,Both,,,,COASTAL ESTUARY SERVICES LLC,A. Hafkesbring; C. Hymel,Water Level is below marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2017,9/14/17,Saline,Transect,Natural,90,85,5,,107.89,,137.16,24.38,,Avicennia germinans (L.) L.,black mangrove,90,Both,,,85% shrub; 5% herbaceous,COASTAL ESTUARY SERVICES LLC,B. Lussier; S. Giles; M. McGaw, Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 1%. Flooded-Undetermined is 0%.
2007,8/21/07,Saline,Transect,Natural,90,,90,,64.6,,,61,,Avicennia germinans (L.) L.,black mangrove,,Out,,,mangroves 2ft tall ,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J. Soileau,Bare Ground.; Water Level is 0.10ft. Above Marsh
2017,8/21/17,Saline,Transect,Natural,90,,90,,93.93,,,76.2,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,herbaceous,COASTAL ESTUARY SERVICES LLC,S. Giles; A. Dufrene; W.P. Brown, Water Level is 0.3 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 2%. Flooded-Undetermined is 0%.
2017,9/20/17,Saline,Transect,Natural,90,,90,,90.64,,,82.29,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,K. Soderstrum; B. Lussier; C. McCulla,3% wrack in plot Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 1%. Flooded-Undetermined is 0%.
2017,9/20/17,Saline,Transect,Natural,90,,90,,117.71,,,94.48,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,,COASTAL ESTUARY SERVICES LLC,K. Soderstrum; B. Lussier; C. McCulla, Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 2%. Flooded-Undetermined is 0%.
2015,7/9/15,Saline,Transect,Natural,90,,90,,89.73,,,88.39,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,K.B. Duhon; D.J. Sires; W.P. Brown,Photos taken on a different date Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2007,8/21/07,Saline,Transect,Natural,90,90,1,,152.4,,152.4,61,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,T. Nguyen; M. Estay,Bare Ground.; Water Level is Below Marsh
2008,8/20/08,Saline,Transect,Natural,90,85,5,,152.4,,170.68,60.96,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Bernard; T. Nguyen,Water Level is Below Marsh. Bare Ground is unvegetated surface.
2008,8/20/08,Saline,Transect,Natural,90,85,5,,121.92,,167.64,39.62,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Bernard; T. Nguyen,Water Level is Below Marsh. Bare Ground is unvegetated surface.
2012,7/6/12,Saline,Transect,Natural,90,45,45,,117.53,,109.72,60.96,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Hymel; A. Hafkesbring; E. Bourg,Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2014,9/3/14,Saline,Transect,Natural,90,90,15,,149.23,,152.4,97.53,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Dufrene; J.S. Smith; A. Hafkesbring,Water Level is below marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2015,7/8/15,Saline,Transect,Natural,90,90,3,,174.89,,179.83,60.96,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Hymel; A. Hingle; J.C. Mattingly, Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2006,8/16/06,Saline,Transect,Natural,90,15,90,,53.6,,121.9,45.7,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,,COASTAL ESTUARY SERVICES LLC,T. Nguyen; D. Mcwhorter; W. Cavalier,
2008,8/20/08,Saline,Transect,Natural,90,80,25,,121.92,,137.16,45.72,,Avicennia germinans (L.) L.,black mangrove,10,Both,,,,COASTAL ESTUARY SERVICES LLC,H. Bernard; T. Nguyen,Water Level is Below Marsh.
2010,6/17/10,Saline,Transect,Natural,90,40,50,,136.48,,143.25,82.29,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,J. Smith; T. Nguyen,Picture incorrectly identifies the site as CRMS0335. Water Level is 0 ft above marsh.
2017,8/21/17,Saline,Transect,Natural,90,80,10,,146.91,,143.25,91.44,,Avicennia germinans (L.) L.,black mangrove,2,Both,,,Shrub,COASTAL ESTUARY SERVICES LLC,A. Dufrene; S. Giles; W.P. Brown,approximately 10 ft from bay. Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2007,8/21/07,Saline,Transect,Natural,90,10,80,,124.4,,152.4,70.1,,Avicennia germinans (L.) L.,black mangrove,5,Both,,,,COASTAL ESTUARY SERVICES LLC,T. Nguyen; M. Estay,Bare Ground.; Water Level is Below Marsh
2007,8/21/07,Saline,Transect,Natural,90,,80,10,86.6,,,73.2,30.5,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,M. Estay; T. Nguyen,some wrack in plot; Bare Ground.; Water Level is Below Marsh
2012,7/6/12,Saline,Transect,Natural,90,,90,,56.2,,,39.62,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,E. Bourg; A. Hafkesbring; C. Hymel,Water Level is 0.1 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2004,9/9/04,Saline,Transect,Planted,90,,90,,80,,,80,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDNO),J. Troutman; M. Hymel; B. Carter,
2007,10/9/07,Saline,Transect,Natural,90,40,2,65,16,,70,16,,Avicennia germinans (L.) L.,black mangrove,40,Both,,,,LA DEPT OF NAT RES (CRDT),G. Curole; E. Lear,QA: Carpet height not recorded in the field.
2016,9/12/16,Saline,Transect,Natural,90,,90,,86,,,80,,Avicennia germinans (L.) L.,black mangrove,0.1,Both,,,r=0.1; <1=0.5,COASTAL ESTUARY SERVICES LLC,L. Rodrigue; E. Lear; T. Hubbell; G. Curole, Water Level is 0.32 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,9/22/16,Saline,Transect,Natural,90,15,75,,132.4,,75,132.4,,Avicennia germinans (L.) L.,black mangrove,15,Both,,,,COASTAL ESTUARY SERVICES LLC,E. Lear; T. Hubbell; G. Curole,Dominant ht = Spartina alterniflora & = herbaceous layer ht. Water Level is below marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2001,10/22/01,Saline,Random,Natural,87,,87,,110,,,110,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Folse; J. Rapp,
2003,10/20/03,Saline,Random,Planted,85,1,84,,72,,98,72,,Avicennia germinans (L.) L.,black mangrove,1,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,Spartina alterniflora Loisel. indeterminate
2002,9/18/02,Saline,Random,Planted,85,,85,,135,,,135,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Folse; T. Hubbell; G. Curole,Spartina alterniflora indeterminate.
2003,10/20/03,Saline,Random,Natural,85,,85,,124,,,124,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,
2003,10/20/03,Saline,Random,Planted,85,<1,85,,134,,152,134,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),T. Hubbell; G. Curole; R. Chiasson,Spartina alterniflora Loisel. indeterminate.
2003,10/20/03,Saline,Random,Planted,85,<1,85,,145,,110,145,,Avicennia germinans (L.) L.,black mangrove,Solitary,Both,,,,LA DEPT OF NAT RES (CRDT),G. Curole; R. Chiasson; T. Hubbell,
2003,9/15/03,Saline,Random,Planted,85,,85,,114,,,114,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,LA DEPT OF NAT RES (CRDT),A. Lasseigne; R. Chiasson; T. Hubbell,
2016,9/8/16,Saline,Random,Natural,85,85,2,,124.4,,124.4,100,,Avicennia germinans (L.) L.,black mangrove,85,Both,,,,COASTAL PROTECTION AND RESTORATION AUTHORITY,G. Curole; E. Lear; L. Rodrigue; T. Hubbell,Plot TE52-V37 in Gulf of Mexico.  Replaced TE52-V37 with TE52-V67. Water Level is 0 ft above marsh. Open water is 0%. Bare ground is 5%. Dead vegetation is 10%. Flooded-Undetermined is 0%.
2013,10/28/13,Saline,Transect,Natural,85,20,65,,47.54,,115.82,33.52,,Avicennia germinans (L.) L.,black mangrove,20,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,C. Izdepski; R. Villani,Water Level is below marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,10/5/16,Saline,Transect,Natural,85,,85,,101.19,,,85.34,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Izdepski; E. Bennett, Water Level is below marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2011,8/23/11,Saline,Transect,Natural,85,,85,,141.42,,,91.44,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Arnold; K. Peterson; K. Lew,Water Level is 0.01 ft above marsh.
2016,9/6/16,Saline,Transect,Natural,85,3,85,,112.77,,91.44,88.39,,Avicennia germinans (L.) L.,black mangrove,3,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,A. Plaisance; D. Plaisance; M. Elizondo,"Open water depth = 1.12 ft; Shrub height estimated from picture, did not take measurement in field Water Level is 0.3 ft above marsh. Open water is 4%. Bare ground is 11%. Dead vegetation is 0%. Flooded-Undetermined is 0%."
2007,8/30/07,Saline,Transect,Natural,85,,85,,82,,,82,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,C. Cheramie; F. Stcyr,Water 0.2ft above marsh
2008,7/30/08,Saline,Transect,Natural,85,,85,,142.03,,,97.53,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; A. Kerisit,YSI 30 broken - no porewater readings taken.  Water Level is 0 ft Above Marsh. Bare Ground is unvegetated surface.
2016,9/6/16,Saline,Transect,Natural,85,,85,,118.26,,,97.53,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; D. Plaisance; M. Elizondo, Water Level is 0.26 ft above marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,9/6/16,Saline,Transect,Natural,85,,85,,120.09,,,100.58,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; D. Plaisance; M. Elizondo,open water = 1.48 ft deep Water Level is 0.6 ft above marsh. Open water is 10%. Bare ground is 5%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2015,8/31/15,Saline,Transect,Natural,85,,85,,95.09,,,91.44,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; Z. Moore; T. Siemens, Water Level is 0.4 ft above marsh. Open water is 5%. Bare ground is 10%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2017,8/1/17,Saline,Transect,Natural,85,,85,,105.46,,,79.24,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,H. Arnold; J. Pace; K. Fogg,camera corrupted; attempting to retrieve file from outside source; Water Level is 0.6 ft above marsh. Open water is 0%. Bare ground is 10%. Dead vegetation is 5%. Flooded-Undetermined is 0%.
2008,7/30/08,Saline,Transect,Natural,85,,85,,117.65,,,109.72,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,A. Plaisance; A. Kerisit,YSI 30 broken - no porewater readings taken. Water Level is 0.7 ft Above Marsh. Bare Ground is unvegetated surface.
2012,7/27/12,Saline,Transect,Natural,85,,85,,104.24,,,79.24,,Avicennia germinans (L.) L.,black mangrove,,Out,,,Dr. Urbatsch ID,COASTAL ESTUARY SERVICES LLC,F. Gilmore; D. Plaisance; C. Plaisance,Water Level is 0.2 ft above marsh. Open water is 0%. Bare ground is 0%. Dead vegetation is 0%. Flooded-Undetermined is 15%.
2013,8/8/13,Saline,Transect,Natural,85,,85,,91.31,,,76.2,,Avicennia germinans (L.) L.,black mangrove,,Out,,,,COASTAL ESTUARY SERVICES LLC,P. Vining; A. Dufrene; B. Miller,Water Level is below marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2014,8/7/14,Saline,Transect,Natural,85,,85,,103.63,,,82.29,,Avicennia germinans (L.) L.,black mangrove,10,Both,,,Herbaceous,COASTAL ESTUARY SERVICES LLC,A. Hafkesbring; C. Hymel,Water Level is 0.3 ft above marsh. Open water is 0%. Bare ground is 12%. Dead vegetation is 3%. Flooded-Undetermined is 0%.
2015,8/11/15,Saline,Transect,Natural,85,65,20,,157.39,,161.54,67.05,,Avicennia germinans (L.) L.,black mangrove,85,Both,,,20% Herbaceous; 65% shrub,COASTAL ESTUARY SERVICES LLC,A. Hingle; K.B. Duhon; B. Lussier, Water Level is 0.05 ft above marsh. Open water is 0%. Bare ground is 15%. Dead vegetation is 0%. Flooded-Undetermined is 0%.
2016,9/2/16,Saline,Transect,Natural,85,85,,,143.74,,129.54,,,Avicennia germinans (L.) L.,black mangrove,85,Both,,,shrub,COASTAL ESTUARY SERVICES LLC,D.J. Sires; B. Lussier; M. McGaw, Water Level is 0.95 ft above marsh. Open water is 0%. Bare ground is 0%. Dead vegetation is 0%. Flooded-Undetermined is 15%.
